ID,Prompt,element,product_process_ratio,chars_process_per_min_incl_space,chars_process_per_min_excl_space,mean_process_time_in_p_burst_pt200,mean_typed_chars_in_p_burst_pt200,mean_pause_time_in_seconds_pt200,proportion_of_pause_time_pt200,mean_process_time_in_p_burst_pt1000,mean_typed_chars_in_p_burst_pt1000,mean_pause_time_in_seconds_pt1000,proportion_of_pause_time_pt1000,mean_process_time_in_p_burst_pt2000,mean_typed_chars_in_p_burst_pt2000,mean_pause_time_in_seconds_pt2000,proportion_of_pause_time_pt2000,mean_pause_time_sec_within_words_pt200,mean_pause_time_sec_between_words_pt200,mean_pause_time_sec_between_sentences_pt200,mean_pause_time_sec_within_words_pt1000,mean_pause_time_sec_between_words_pt1000,mean_pause_time_sec_between_sentences_pt1000,mean_pause_time_sec_within_words_pt2000,mean_pause_time_sec_between_words_pt2000,mean_pause_time_sec_between_sentences_pt2000,proportion_of_pause_time_within_words_pt200,proportion_of_pause_time_within_words_pt1000,proportion_of_pause_time_within_words_pt2000,proportion_of_pause_time_between_words_pt200,proportion_of_pause_time_between_words_pt1000,proportion_of_pause_time_between_words_pt2000,proportion_of_pause_time_between_sentences_pt200,proportion_of_pause_time_between_sentences_pt1000,proportion_of_pause_time_between_sentences_pt2000
1,Competition,Data,0.88482835,46.26565684,37.76788314,2.035282918,1.569395018,0.786283929,0.384951772,17.59736923,13.56923077,4.100746032,0.225861558,34.66148485,26.72727273,6.857354839,0.18584771,0.356771863,1.280295455,1.0706,1.668333333,2.621779412,2.21,2.352,3.96957377,3.566,0.082032367,0.013126962,0.006168754,0.147748483,0.155863333,0.211695979,0.009359791,0.007728428,0.012470395
1,Competition,FinalClaim,0.864473684,20.21312107,16.63884966,5.291440217,1.782608696,1.080371585,0.203063808,46.36309524,15.61904762,7.01905,0.144183849,88.51136364,29.81818182,12.7853,0.131316472,0.538,1.611,0.948,7.131,3.412,2.744,19.257,3.412,2.744,0.04807395,0.021972525,0.019778662,0.077768135,0.140177173,0.140177173,0.001947362,0.005636667,0.005636667
1,Competition,PrimaryClaim,0.992,11.95928011,10.11191164,9.493753846,1.892307692,0.642666667,0.06561075,102.849,20.5,5.326,0.034523103,123.4188,24.6,6.736,0.032747037,0.353948718,1.777066667,0,2.376,8.916,0,2.376,8.916,0,0.022369364,0.003850305,0.003850305,0.043196012,0.028896732,0.028896732,0,0,0
2,Competition,Data,0.796610169,55.97740663,47.24872628,2.749556522,2.565217391,0.409535088,0.147650688,79.04975,73.75,2.911666667,0.027625008,105.3996667,98.33333333,3.5355,0.0223625,0.321,0.712,0.456,0,2.095,1.832,0,3.536,0,0.04974399,0,0,0.092321608,0.218643955,0.022365662,0.00144213,0.00579382,0
2,Competition,FinalClaim,0.826923077,51.76125123,43.54912964,2.940329268,2.536585366,0.395111111,0.132737747,60.27675,52,1.952,0.024287972,120.5535,104,2.888,0.011978084,0.375,0.45,0,2.888,0,0,2.888,0,0,0.055991738,0.011978084,0.011978084,0.046659782,0,0,0,0,0
3,Competition,Data,0.842198582,49.94491589,41.66551675,2.335674216,1.944250871,0.611781469,0.261016636,15.58926744,12.97674419,1.928297619,0.120817318,46.23024138,38.48275862,3.199481481,0.06443461,0.42195102,1.126235294,0.54225,1.460882353,2.460022901,1.80775,2.46,3.128232877,2.368,0.077108804,0.018524223,0.007339575,0.128527602,0.240373334,0.170332601,0.001617839,0.005393544,0.001766272
3,Competition,FinalClaim,0.830872483,52.53299647,44.69225073,1.962136752,1.717948718,0.700456897,0.353935619,10.435,9.136363636,2.12747619,0.194611665,22.957,20.1,3.271444444,0.12825282,0.365,1.809,1.652,1.328,3.364,1.652,0,4.106,0,0.084266237,0.011569456,0,0.165478939,0.293069652,0.232512959,0.007196062,0.007196062,0
3,Competition,PrimaryClaim,0.975206612,5.117840445,4.337152919,24.27010526,2.070175439,0.541272727,0.021519507,153.7106667,13.11111111,1.953142857,0.009882926,276.6792,23.6,3.005333333,0.006517295,0.3005,1.0558,0,1,2.18975,0,0,3.16,0,0.006516572,0.000722859,0,0.011447915,0.00633152,0.004568468,0,0,0
4,Competition,Data,0.816977724,25.63359411,21.29392618,3.705512008,1.58309318,0.742447115,0.200170424,30.859504,13.184,3.625362903,0.116539786,56.72702941,24.23529412,5.540477612,0.096232785,0.321,1.342,0.764,1.641,2.474,1.721,3.004,4.622,0,0.042856165,0.003828707,0.00155751,0.084191632,0.1154445,0.037144343,0.00178253,0.002676906,0
4,Competition,FinalClaim,0.838709677,2.609262883,2.248633054,27.46004854,1.194174757,0.502421569,0.01811882,353.548125,15.375,2.177142857,0.005388234,707.09625,30.75,3.232,0.003428105,0.456,0.952,0,2.284,3.68,0,3.008,3.68,0,0.009834588,0.003230112,0.002127009,0.005721993,0.001301096,0.001301096,0,0,0
4,Competition,PrimaryClaim,0.836601307,3.123484153,2.523609713,30.53270526,1.589473684,0.620882979,0.020120961,290.0607,15.1,3.308111111,0.010264403,483.4345,25.16666667,4.7244,0.008143813,0.316,0.828,0,1.544,3.608,0,0,5.336,0,0.005556078,0.000532302,0,0.007136437,0.002487755,0.001839615,0,0,0
5,Competition,Data,0.861552028,33.56724314,27.6295708,2.996853949,1.676602086,0.840219731,0.27953159,19.71459804,11.02941176,3.26217,0.162225265,51.56125641,28.84615385,6.462783784,0.118914072,0.396239437,1.639896104,1.2185,1.663363636,2.546736842,1.5745,2.256,5.5445,0,0.055961319,0.009098961,0.002243784,0.125588235,0.192503912,0.044115811,0.003635705,0.004697922,0
5,Competition,FinalClaim,0.873287671,12.96868902,10.40196932,7.931190476,1.714285714,0.56245509,0.070494731,63.44952381,13.71428571,1.74945,0.026259344,190.3485714,41.14285714,2.764833333,0.012450092,0.361,1.819,2.776,1.528,2.632,2.776,0,3.259,2.776,0.01950707,0.002293537,0,0.051876257,0.037531146,0.029350665,0.002083396,0.002083396,0.002083396
5,Competition,PrimaryClaim,0.936507937,5.562720799,4.800089721,17.833,1.653333333,0.704369863,0.038444831,111.45625,10.33333333,2.7028,0.020208228,167.184375,15.5,3.703333333,0.016613395,0.33445,1.6515,0,1.16,2.6834,0,0,3.648,0,0.01000243,0.000867306,0,0.017287052,0.010031589,0.008182583,0,0,0
6,Competition,Data,0.863065327,58.40297552,47.72958746,1.269073132,1.235294118,0.723630573,0.569297473,8.583301075,8.35483871,2.414652174,0.278294814,22.17352778,21.58333333,4.205885714,0.184411592,0.457,1.811,2.098,2.41,3.735,3.758,4.812,4.272,4.158,0.184346449,0.039248503,0.024112837,0.256365511,0.444505272,0.492358881,0.021026073,0.032954712,0.036462398
6,Competition,FinalClaim,0.888888889,20.43560852,17.27546287,3.65124359,1.243589744,0.837844156,0.226526263,18.98646667,6.466666667,2.594071429,0.127518899,40.68528571,13.85714286,4.227833333,0.089070461,0.513,2.474,0,1.808,5.177,0,2.664,5.819,0,0.079256453,0.019045144,0.009354031,0.104242671,0.10906716,0.102160486,0,0,0
7,Competition,Data,0.800856531,42.71960116,35.67589819,1.777520325,1.265582656,0.633528533,0.355445529,17.97,12.79452055,3.105267606,0.168068547,38.58264706,27.47058824,5.25309375,0.128142795,0.348230539,1.241007576,0.6945,1.651428571,2.70055914,1.992,3.496,4.42109375,3.663,0.088662992,0.008812252,0.00266502,0.124875554,0.191454555,0.107847173,0.003176527,0.00607405,0.002792325
7,Competition,FinalClaim,0.84691358,8.912518286,7.48651536,9.785034884,1.453488372,0.762105882,0.076979203,84.1513,12.5,3.688666667,0.039450371,120.2161429,17.85714286,4.805,0.03425972,0.406,2.317,0,1.54,5.482,0,0,6.88,0,0.021710895,0.003660074,0,0.038547236,0.026057827,0.02452725,0,0,0
7,Competition,PrimaryClaim,0.9390681,12.16779344,10.11802178,7.906683908,1.603448276,0.774163743,0.096224422,41.68978788,8.454545455,2.639,0.057546249,98.26878571,19.92857143,4.853545455,0.038806829,0.366270588,1.731272727,0,1.029,2.431,0,0,4.9152,0,0.022629624,0.002243846,0,0.041527501,0.03180635,0.017863542,0,0,0
8,Competition,Data,0.743772242,18.99088134,15.91584539,4.278527711,1.354216867,0.691839806,0.160531519,32.28343636,10.21818182,2.906961538,0.08513344,59.1863,18.73333333,4.286037037,0.065174429,0.426131737,1.41545679,0,2.788285714,3.717509434,0,4.72,4.318319149,0,0.040079095,0.010992409,0.007974818,0.064571249,0.110964869,0.114306295,0,0,0
8,Competition,PrimaryClaim,0.801498127,11.51218846,9.593490381,6.583411483,1.263157895,0.560825243,0.083964844,55.03732,10.56,1.876636364,0.030005822,171.991625,33,3.6142,0.013133634,0.389054795,1.107416667,0,1.55625,1.778285714,0,0,4.9635,0,0.020641267,0.004524203,0,0.028974521,0.036187809,0.007214741,0,0,0
9,Competition,Data,0.825780463,67.53454584,54.8674445,1.111983139,1.251621271,0.497075325,0.446437174,15.309625,17.23214286,2.220945455,0.142478063,47.62994444,53.61111111,4.146882353,0.082227684,0.337,0.826,0.808,2.698,1.666,1.407,5.289,4.474,0,0.117923015,0.018881679,0.012338177,0.12428456,0.204038309,0.02087389,0.004712255,0.006564498,0
9,Competition,FinalClaim,0.829268293,14.61939323,12.24374183,4.497684932,1.095890411,0.432444444,0.094831131,82.08275,20,1.090666667,0.009965553,328.331,80,0,0,0.315,0.441,0,0,0,0,0,0,0,0.02494434,0,0,0.012088411,0,0,0,0,0
10,Competition,Data,0.64137931,10.15553819,8.282885757,9.360033708,1.584269663,0.726375,0.076731933,59.50307143,10.07142857,2.596230769,0.040515316,92.56033333,15.66666667,3.258,0.031287701,0.617,0.952,0,3.12,3.881,0,4.628,3.881,0,0.028145006,0.014981219,0.011111071,0.01828477,0.060564701,0.060564701,0,0,0
10,Competition,FinalClaim,0.883333333,23.26619591,19.35591088,5.683018519,2.203703704,0.903830189,0.15609532,34.09811111,13.22222222,3.7195,0.096962034,61.3766,23.8,5.924,0.077215095,0.479,1.185,0,4.368,1.81,0,4.368,2.599,0,0.03433882,0.014233437,0.014233437,0.057921097,0.023592053,0.008469026,0,0,0
11,Competition,Data,0.843151694,44.06252557,36.66421147,2.652460203,1.947901592,0.488885341,0.183780451,46.99615385,34.51282051,3.526243243,0.071184767,83.31136364,61.18181818,5.3438,0.058311373,0.305154494,0.835,0.642285714,1.289,4.892322751,4.958714286,0,7.754615385,7.702,0.059271081,0.005626211,0,0.093392804,0.504487001,0.440014186,0.00245301,0.018938266,0.016808795
11,Competition,FinalClaim,0.907142857,23.78628934,20.26760748,5.465333333,2.166666667,0.342012987,0.061776324,213.148,84.5,3.592,0.00842607,213.148,84.5,3.592,0.00842607,0.277,0.621,0,0,3.592,0,0,3.592,0,0.029890029,0,0,0.034961623,0.00842607,0.00842607,0,0,0
11,Competition,PrimaryClaim,0.65008881,24.19801536,19.8536679,4.985938628,2.010830325,0.487858182,0.097140333,81.24147059,32.76470588,3.382666667,0.036738698,138.1105,55.7,5.176,0.02998179,0.332293706,0.759,0.733333333,2.037,3.469857143,0,3.864,4.934,0,0.034405784,0.004424718,0.00279776,0.049460396,0.017586643,0.014290007,0.001592927,0,0
12,Competition,Data,0.938046647,35.71430121,29.28468576,2.246548733,1.337231969,0.427211144,0.189607277,45.19527451,26.90196078,1.829166667,0.038091784,230.4959,137.2,4.678857143,0.014209363,0.322429379,0.83179638,0.797333333,1.376,1.834156977,1.508,0,2.376,0,0.074278978,0.001790921,0,0.079752829,0.136867944,0.003092463,0.002075525,0.002616966,0
12,Competition,FinalClaim,0.927597956,5.806309719,4.985215415,12.94968354,1.253164557,0.466307692,0.035553383,255.75625,24.75,2.370666667,0.006951932,511.5125,49.5,3.984,0.003894333,0.378,1.408,0,1.264,4.244,0,0,4.244,0,0.015888175,0.001235551,0,0.015139415,0.008296962,0.008296962,0,0,0
12,Competition,PrimaryClaim,0.887755102,16.35214542,13.62116855,5.084522857,1.385714286,0.513752161,0.100176277,68.4455,18.65384615,2.430130435,0.03140792,148.2985833,40.41666667,4.083555556,0.020652029,0.346118557,1.20956,0.8,1.213,2.848538462,0,0,4.553333333,0,0.037731873,0.001363241,0,0.050976549,0.020808807,0.015351911,0.000449544,0,0
13,Competition,Data,0.617954071,67.94765304,55.32272377,1.710132075,1.936657682,0.671445344,0.392098623,13.79258696,15.61956522,2.789978022,0.200082275,33.39257895,37.81578947,4.806864865,0.140161933,0.37,1.178,0.74,1.479,2.209,1.56,2.128,3.142,0,0.073771512,0.012821159,0.003354039,0.185669996,0.28027737,0.126282392,0.004082218,0.006146969,0
13,Competition,FinalClaim,0.985714286,248.5942587,209.5294466,0.649807692,2.692307692,0.42648,0.631074282,8.4475,35,1.144,0.067712341,16.895,70,0,0,0.325,0.964,0,0,1.144,0,0,0,0,0.230837526,0,0,0.570583013,0.067712341,0,0,0,0
14,Competition,Data,0.749875931,110.1571897,91.96355744,0.839779412,1.541795666,0.657271108,0.782065355,5.740714286,10.53968254,2.421648936,0.41960562,13.91019231,25.53846154,3.959844156,0.281022493,0.415,1.279,0.865,1.863,2.322,1.974,2.789,4.564,4.047,0.211134614,0.058379993,0.030846225,0.331244844,0.575687446,0.508982991,0.008769626,0.020012995,0.018649856
14,Competition,FinalClaim,0.930232558,171.1237124,148.9782908,0.562320755,1.603773585,0.440384615,0.768379022,7.45075,21.25,2.330333333,0.234573701,14.9015,42.5,3.736,0.125356508,0.373,1.115,0,3.736,1.628,0,3.736,0,0,0.450558669,0.125356508,0.125356508,0.37412341,0.109250747,0,0,0,0
15,Competition,Data,0.890526316,57.0876833,48.15641784,2.004556452,1.907258065,0.469595142,0.233319253,22.59681818,21.5,1.563285714,0.066037053,124.2825,118.25,2.298666667,0.013871623,0.361,0.753,1.104,1.397,2.022,0,2.216,2.34,0,0.100937381,0.014050651,0.004457587,0.101484521,0.126087744,0.009414037,0.002220747,0,0
15,Competition,FinalClaim,0.703703704,30.34651932,26.36353866,3.195414141,1.616161616,0.597265306,0.185025257,31.6346,16,3.030222222,0.086209404,52.72433333,26.66666667,4.5738,0.072291099,0.395,0.97,0,1.904,1.616,0,2.528,10.511,0,0.064928907,0.012037453,0.00799125,0.049060206,0.081733292,0.531620441,0,0,0
16,Competition,Data,0.90018315,29.90739468,24.77568304,3.594566942,1.791735537,0.685729236,0.189822289,23.63818478,11.7826087,2.476932584,0.101368318,54.367825,27.1,4.014891892,0.068308324,0.345,1.683372414,0,1.837,3.10615625,0,2.704,4.403938776,0,0.04886162,0.005068255,0.002486765,0.112239638,0.137117404,0.099228266,0,0,0
16,Competition,FinalClaim,0.877159309,36.4408728,30.26445368,2.428591667,1.475,0.794655462,0.32448161,13.24686364,8.045454545,2.942857143,0.212057056,32.38122222,19.66666667,5.468,0.15010071,0.322,2.389,0,1.168,5.386,0,0,5.804,0,0.068503351,0.008015619,0,0.188542056,0.369624371,0.358479366,0,0,0
16,Competition,PrimaryClaim,0.91372549,9.30381955,7.937782553,12.21909023,1.894736842,0.767176923,0.061368904,62.50534615,9.692307692,2.662652174,0.037683546,116.0813571,18,4.025545455,0.027247515,0.32552,1.482064516,0,2.248,2.300692308,0,2.248,3.2848,0,0.015022715,0.001383266,0.001383266,0.028270813,0.018403964,0.010106212,0,0,0
17,Competition,Data,0.838998211,21.41457534,17.5034142,8.778538244,3.133144476,0.514939828,0.057994258,83.752,29.89189189,2.050909091,0.021840543,221.3445714,79,3.6385,0.011741551,0.3765,0.757406452,0.6135,5.2035,1.4554375,1.269,9.256,3.505541667,0,0.013850738,0.003358371,0.00298694,0.037884694,0.052603504,0.027149977,0.00118787,0.001638041,0
17,Competition,FinalClaim,0.8375,72.0768339,60.90492465,1.849877778,2.222222222,0.986325843,0.527260059,8.762578947,10.52631579,3.346388889,0.361795674,16.6489,20,5.361666667,0.289838968,0.747,1.269,0,5.426,2.785,0,7.464,3.848,0,0.152550619,0.097772225,0.089663581,0.20579738,0.418195797,0.577815952,0,0,0
17,Competition,PrimaryClaim,0.937106918,10.33318488,8.490323883,19.81795652,3.413043478,0.659909091,0.031850781,101.2917778,17.44444444,2.413714286,0.018533916,303.8753333,52.33333333,9.645,0.010579997,0.309125,0.506230769,0,0,1.032,0,0,0,0,0.005425471,0,0,0.007218969,0.001132043,0,0,0,0
18,Competition,Data,0.884753042,64.89887301,52.61815468,1.494451765,1.616470588,0.67864033,0.453038061,10.49821488,11.3553719,2.178655462,0.204096092,30.98253659,33.51219512,3.869076923,0.11878761,0.411944751,1.39756872,1.35325,1.519,2.517512953,2.307714286,2.65375,3.476794521,3.232,0.117394221,0.019132729,0.008356399,0.232142576,0.382497142,0.399605128,0.008522504,0.012716841,0.012721565
18,Competition,FinalClaim,0.877906977,18.70935554,14.70942435,4.386867925,1.367924528,0.893752381,0.201811582,18.60032,5.8,2.397125,0.123720452,51.66755556,16.11111111,4.6115,0.079336269,0.494,1.751,0,1.36,3.04,0,0,5.407,0,0.036119809,0.008774043,0,0.086607112,0.143825483,0.209299625,0,0,0
19,Competition,Data,0.7,12.91935571,10.76612976,5.725719178,1.232876712,0.676931034,0.117416607,33.4382,7.2,2.195666667,0.063036886,139.3258333,30,5.5338,0.033098672,0.731,0.913,1.568,3.306,2.122,1.368,8.552,3.013,0,0.043722449,0.027683308,0.020460431,0.024027609,0.015230485,0.010812783,0.001875699,0.001636452,0
19,Competition,FinalClaim,0.809090909,104.4188144,86.38283734,0.865849315,1.506849315,0.646472222,0.736405778,9.029571429,15.71428571,3.779666667,0.358789375,12.6414,22,4.94375,0.312860917,0.311,1.136,0,0,1.911,0,0,0,0,0.162371256,0,0,0.233645008,0.120935972,0,0,0,0
20,Competition,Data,0.859283388,65.82244548,52.88523176,1.883105624,2.065843621,0.680430536,0.360342924,12.257,13.44642857,2.1927,0.175699163,32.68533333,35.85714286,3.6454,0.106219187,0.366349206,1.247063291,2.182,1.7459,2.362344633,2.986333333,2.311,3.546,3.524,0.067250201,0.012717951,0.008417202,0.215295341,0.304589069,0.209228837,0.006357883,0.006526154,0.005134092
20,Competition,PrimaryClaim,0.759615385,8.561454062,6.982156711,15.19663158,2.168421053,0.53055914,0.034177934,120.3066667,17.16666667,1.678,0.011623074,360.92,51.5,2.96,0.004100632,0.368516129,1.247785714,3.56,1.529,2.952,3.56,0,3.659,3.56,0.007913111,0.001059099,0,0.024200654,0.038850715,0.030413942,0.00246592,0.00246592,0.00246592
21,Competition,Data,0.748582231,22.49757644,19.08623567,4.875378947,1.828070175,0.754492908,0.153126739,32.31355814,12.11627907,2.815425,0.08104957,69.47415,26.05,4.717529412,0.057717871,0.498446809,0.949048387,0.816,2.269333333,2.3249375,0,3.366,4.665,0,0.033720456,0.009799328,0.007267451,0.042347405,0.026771828,0.030216275,0.000587269,0,0
21,Competition,FinalClaim,0.710332103,197.5213013,169.3039726,0.592590164,1.950819672,0.4109,0.682029435,12.04933333,39.66666667,1.28,0.070819962,36.148,119,0,0,0.323,0.619,0,1.368,1.192,0,0,0,0,0.277000111,0.037844417,0,0.222612593,0.032975545,0,0,0,0
21,Competition,PrimaryClaim,0.7175,9.73456505,8.166080145,12.48688601,2.025906736,1.037455026,0.081361627,48.19938,7.82,2.993456522,0.057137249,109.5440455,17.77272727,5.508611111,0.041143683,0.45528,0.87676087,0.984,2.385,1.689,1.297,4.671,0,0,0.009445765,0.002968918,0.001938199,0.01673507,0.0126151,0,0.000408304,0.000538181,0
22,Competition,Data,0.819241983,46.7173276,38.31002643,2.353442068,1.832442068,0.927330948,0.392627024,14.35088043,11.17391304,3.7051,0.252566688,29.33957778,22.84444444,6.295953488,0.205051803,0.4726,1.706983871,0.544,2.1624,7.28688,1.336,3.335,11.48610526,2.144,0.075170361,0.024567497,0.015155865,0.160318902,0.551918872,0.495885346,0.000824067,0.001011906,0.001623897
22,Competition,FinalClaim,0.867383513,144.3361754,118.7576127,0.80097561,1.926829268,0.4364,0.531546894,8.21,19.75,1.397333333,0.127649208,32.84,79,0,0,0.306,0.703,0,0,1.184,0,0,0,0,0.121132765,0,0,0.21406821,0.036053593,0,0,0,0
22,Competition,PrimaryClaim,0.746606335,18.87402089,15.62871413,6.445440367,2.027522936,0.819813084,0.124858907,46.83686667,14.73333333,3.936615385,0.072842903,100.3647143,31.57142857,8.2096,0.058426909,0.353782609,1.2455,0,1.14,2.098428571,0,0,6.84,0,0.023164089,0.003245307,0,0.04963896,0.020908031,0.00973592,0,0,0
23,Competition,Data,0.840630473,104.4234953,85.72354312,0.982015152,1.709090909,0.577957447,0.586758829,13.50270833,23.5,3.286695652,0.233268017,32.4065,56.4,6.126777778,0.170154136,0.346,0.89,0.891,1.938,2.194,1.784,2.888,5.41,0,0.171897613,0.017940845,0.008911792,0.222455372,0.358823076,0.050082545,0.008248345,0.011010137,0
23,Competition,FinalClaim,0.857923497,172.2478982,142.9089705,0.615504854,1.766990291,0.445882353,0.717384103,10.56616667,30.33333333,1.8126,0.142956291,21.13233333,60.66666667,2.696,0.085051343,0.366,0.671,0,1.216,3.168,0,0,3.168,0,0.329069199,0.038361437,0,0.275186523,0.049970819,0.049970819,0,0,0
